Filename,Independ.Claim,param,mean,sd,Z,median,lwr,upr,pval,n_eff,Rhat,Notes
commodity_claim01,plDens ~ numHives + (hbeeDist),claim01_slopeNumHivePlDens,-0.035,0.03,-1.171,-0.035,-0.096,0.023,0.2416,1280,1.001,
commodity_claim02,plSize ~ numHives + (hbeeDist + plDens),claim02_slopeNumHivePlSize,0.027,0.021,1.261,0.027,-0.016,0.069,0.2073,3003,1,
commodity_claim03,flDens ~ numHives + (hbeeDist + plSize),claim03_slopeNumHiveFlDens,-0.318,0.314,-1.012,-0.315,-0.94,0.297,0.3114,1177,1.003,
commodity_claim04,flDens ~ plDens + (hbeeDist + plSize),claim04_slopePlDensFlDens,2.167,0.711,3.046,2.163,0.82,3.588,0.0023,3429,1.001,Added to flDens model
commodity_claim05,hbeeVis ~ plDens + (flDens + hbeeDist + numHives),claim05_slopePlDensHbee,-0.199,0.3,-0.665,-0.193,-0.795,0.38,0.5059,2472,1.001,
commodity_claim06,hbeeVis ~ plSize + plDens + (flDens + hbeeDist + numHives),claim06_slopePlSizeHbee,0.242,0.79,0.306,0.239,-1.337,1.767,0.7596,985,1.002,
commodity_claim07,pollen ~ numHives + (hbeeDist + hbeeVis),claim07_slopeHivePol,0.014,0.042,0.343,0.015,-0.068,0.096,0.7313,1105,1.001,
commodity_claim08,pollen ~ plDens + (hbeeDist + hbeeVis),claim08_slopePlDensPol,-0.132,0.106,-1.251,-0.133,-0.331,0.076,0.2108,1359,1.003,
commodity_claim09,pollen ~ plSize + plDens + (hbeeDist + hbeeVis),claim09_slopePlSizePol,0.225,0.294,0.766,0.225,-0.353,0.815,0.4435,595,1.001,
commodity_claim10,pollen ~ flDens + plSize + (hbeeDist + hbeeVis),claim10_slopeFlDensPol,0.003,0.01,0.359,0.004,-0.015,0.023,0.7198,1941,1.002,
commodity_claim11,flwSurv ~ hbeeDist + (hbeeVis + plSize + pollen),claim11_slopeHbeeDistFlwSurv,0.015,0.011,1.463,0.015,-0.004,0.037,0.1436,2697,1.001,
commodity_claim12,flwSurv ~ numHives + (hbeeVis + plSize + pollen),claim12_slopeHiveFlwSurv,-0.006,0.025,-0.245,-0.006,-0.054,0.044,0.8068,973,1.004,
commodity_claim13,flwSurv ~ plDens + hbeeDist + (hbeeVis + plSize + pollen),claim13_slopePlDensSurv,0.015,0.057,0.257,0.015,-0.1,0.125,0.7975,3365,1,
commodity_claim14,flwSurv ~ flDens + hbeeDist + (hbeeVis + plSize + pollen),claim14_slopeFlDensSurv,-0.002,0.005,-0.371,-0.002,-0.011,0.008,0.7107,3191,1,
commodity_claim15,flwSurv ~ seedCount + (hbeeVis + plSize + pollen),claim15_slopeSeedCountSurv,0.016,0.004,3.996,0.016,0.008,0.023,0.0001,6060,1,Added to seedCount model: seedCount ~ flwSurv + ...
commodity_claim16,seedCount ~ hbeeDist + (hbeeVis + plSize + pollen),claim16_hbeeDistSeedCount,-0.182,0.092,-1.968,-0.179,-0.364,-0.006,0.049,4342,1,
commodity_claim17,seedCount ~ numHives + (hbeeVis + plSize + pollen),claim17_numHiveSeedCount,0.343,0.198,1.737,0.343,-0.044,0.724,0.0824,939,1.005,
commodity_claim18,seedCount ~ plDens + hbeeDist + (hbeeVis + plSize + pollen),claim18_plDensSeedCount,-0.259,0.457,-0.566,-0.266,-1.143,0.638,0.5711,1163,1.001,
commodity_claim19,seedCount ~ flDens + hbeeDist + (hbeeVis + plSize + pollen),claim19_flDensSeedCount,-0.037,0.038,-0.973,-0.037,-0.111,0.037,0.3304,2279,1,
commodity_claim20,flwCount ~ hbeeDist + (flwSurv + plSize),claim20_hbeeDistFlwCount,0.005,0.004,1.394,0.005,-0.002,0.013,0.1634,4741,1,
commodity_claim21,flwCount ~ numHives + (flwSurv + plSize),claim21_numHiveFlwCount,-0.011,0.012,-0.864,-0.01,-0.035,0.013,0.3878,971,1.006,
commodity_claim22,flwCount ~ plDens + hbeeDist + (flwSurv + plSize),claim22_plDensFlwCount,-0.037,0.023,-1.625,-0.037,-0.081,0.008,0.1042,1667,1.001,
commodity_claim23,flwCount ~ flDens + hbeeDist + (flwSurv + plSize),claim23_flDensFlwCount,0.003,0.002,1.213,0.003,-0.002,0.007,0.2252,2605,1,
commodity_claim24,flwCount ~ hbeeVis + flDens + hbeeDist + numHives + (flwSurv + plSize),claim24_hbeeVisFlwCount,-0.015,0.012,-1.252,-0.015,-0.038,0.008,0.2105,3338,1.001,
commodity_claim25,flwCount ~ pollen + hbeeDist + hbeeVis + (flwSurv + plSize),claim25_polFlwCount,-0.009,0.059,-0.159,-0.009,-0.125,0.108,0.8736,488,1.015,
commodity_claim26,flwCount ~ seedCount + hbeeVis + pollen + (flwSurv + plSize),claim26_seedCountFlwCount,-0.008,0.001,-6.12,-0.008,-0.011,-0.006,0,5557,1.001,Added to seedCount model: seedCount ~ flwCount + ...
commodity_claim27,flwCount ~ seedWeight + hbeeVis + pollen + seedCount + (flwSurv + plSize),claim27_seedWeightFlwCount,-0.017,0.009,-1.831,-0.017,-0.035,0.001,0.0672,4523,1,
commodity_claim28,seedWeight ~ hbeeDist + (hbeeVis + plSize + pollen + seedCount),claim28_slopeHbeeDistSeedWeight,0.007,0.018,0.384,0.007,-0.03,0.042,0.7009,4378,1.001,
commodity_claim29,seedWeight ~ numHives + (hbeeVis + plSize + pollen + seedCount),claim29_slopeNumHivesSeedWeight,0.045,0.039,1.15,0.045,-0.031,0.124,0.2502,3127,1.001,
commodity_claim30,seedWeight ~ plDens + hbeeDist + (hbeeVis + plSize + pollen + seedCount),claim30_slopePlDensSeedWeight,0.256,0.093,2.745,0.257,0.078,0.439,0.0061,2516,1,Added to seedWeight model
commodity_claim31,seedWeight ~ flDens + hbeeDist + (hbeeVis + plSize + pollen + seedCount),claim31_slopeFlDensSeedWeight,-0.027,0.008,-3.243,-0.027,-0.043,-0.011,0.0012,2117,1.002,
commodity_claim32,seedWeight ~ flwSurv + (hbeeVis + plSize + pollen + seedCount),claim32_slopeFlwSurvSeedWeight,0.105,0.04,2.61,0.106,0.025,0.184,0.0091,8978,1,Added to seedWeight model
